word,pos_tag
aa,NN
aaa,NN
aah,NN
aahed,VBN
aahing,VBG
aahs,NN
aal,NN
aalii,NN
aaliis,NN
aals,NNS
aam,NN
aani,NN
aardvark,NN
aardvarks,NNS
aardwolf,NN
aardwolves,NNS
aargh,NN
aaron,NN
aaronic,NN
aaronical,JJ
aaronite,NN
aaronitic,JJ
aarrgh,NN
aarrghh,NN
aaru,NN
aas,NN
aasvogel,NN
aasvogels,NNS
ab,NN
aba,NN
ababdeh,NN
ababua,NN
abac,NN
abaca,NN
abacay,NN
abacas,NN
abacate,NN
abacaxi,NN
abaci,NN
abacinate,NN
abacination,NN
abacisci,NN
abaciscus,NN
abacist,NN
aback,NN
abacli,NN
abacot,NN
abacterial,JJ
abactinal,JJ
abactinally,RB
abaction,NN
abactor,NN
abaculi,NN
abaculus,NN
abacus,NN
abacuses,NNS
abada,NN
abaddon,NN
abadejo,NN
abadengo,NN
abadia,NN
abadite,NN
abaff,NN
abaft,NN
abay,NN
abayah,NN
abaisance,NN
abaised,VBN
abaiser,NN
abaisse,NN
abaissed,VBN
abaka,NN
abakas,NN
abalation,NN
abalienate,NN
abalienated,VBN
abalienating,VBG
abalienation,NN
abalone,NN
abalones,NNS
abama,NN
abamp,NN
abampere,RB
abamperes,NNS
abamps,NNS
aband,NN
abandon,NN
abandonable,JJ
abandoned,VBN
abandonedly,RB
abandonee,NN
abandoner,NN
abandoners,NNS
abandoning,VBG
abandonment,NN
abandonments,NNS
abandons,NNS
abandum,NN
abanet,NN
abanga,NN
abanic,NN
abannition,NN
abantes,NNS
abapical,JJ
abaptiston,NN
abaptistum,NN
abarambo,NN
abaris,NN
abarthrosis,NN
abarticular,NN
abarticulation,NN
abas,NN
abase,NN
abased,VBN
abasedly,RB
abasedness,NN
abasement,NN
abasements,NNS
abaser,NN
abasers,NNS
abases,NNS
abasgi,NN
abash,NN
abashed,VBN
abashedly,RB
abashedness,NN
abashes,NNS
abashing,VBG
abashless,NN
abashlessly,RB
abashment,NN
